PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,TICKER
27959,20140102,252,-1.26%,-0.0003,0.7426,-0.4305,-0.2308,0.63%,0.80%,36.91%,-0.70%,DUK
27959,20140103,252,-0.32%,-0.0003,0.743,-0.4319,-0.2312,0.63%,0.80%,36.93%,-0.18%,DUK
27959,20140106,252,0.06%,-0.0003,0.7425,-0.4341,-0.2301,0.63%,0.80%,36.89%,0.13%,DUK
27959,20140107,252,0.78%,-0.0003,0.7439,-0.4326,-0.2418,0.63%,0.80%,36.98%,0.35%,DUK
27959,20140108,252,-0.93%,-0.0003,0.7457,-0.4334,-0.2379,0.64%,0.80%,36.91%,-0.99%,DUK
27959,20140109,252,0.03%,-0.0003,0.7458,-0.4331,-0.2388,0.64%,0.80%,36.90%,0.00%,DUK
27959,20140110,252,1.06%,-0.0003,0.7483,-0.4246,-0.2696,0.64%,0.80%,36.69%,0.90%,DUK
27959,20140113,252,-1.20%,-0.0003,0.7503,-0.4257,-0.2636,0.64%,0.80%,37.29%,-0.21%,DUK
27959,20140114,252,-0.30%,-0.0004,0.7384,-0.4225,-0.2451,0.64%,0.80%,36.55%,-1.17%,DUK
27959,20140115,252,-0.65%,-0.0004,0.737,-0.4316,-0.252,0.64%,0.80%,36.53%,-0.90%,DUK
27959,20140116,252,0.34%,-0.0004,0.7364,-0.4318,-0.2585,0.64%,0.80%,36.50%,0.35%,DUK
27959,20140117,252,0.31%,-0.0004,0.7328,-0.4315,-0.2555,0.64%,0.80%,36.22%,0.62%,DUK
27959,20140121,252,1.39%,-0.0004,0.73,-0.4146,-0.2498,0.64%,0.80%,35.84%,1.37%,DUK
27959,20140122,252,0.20%,-0.0004,0.729,-0.4146,-0.2584,0.64%,0.80%,35.82%,0.26%,DUK
27959,20140123,252,-0.17%,-0.0003,0.726,-0.4121,-0.2664,0.64%,0.80%,35.73%,0.38%,DUK
27959,20140124,252,-0.39%,-0.0003,0.7061,-0.4151,-0.2519,0.65%,0.80%,35.21%,1.08%,DUK
27959,20140127,252,0.69%,-0.0002,0.7049,-0.4342,-0.2414,0.65%,0.80%,34.92%,0.90%,DUK
27959,20140128,252,0.13%,-0.0003,0.7031,-0.4331,-0.2406,0.65%,0.80%,34.80%,-0.30%,DUK
27959,20140129,252,0.25%,-0.0002,0.6946,-0.4349,-0.2315,0.65%,0.80%,34.24%,0.88%,DUK
27959,20140130,252,1.30%,-0.0002,0.6993,-0.421,-0.2429,0.65%,0.81%,34.80%,0.50%,DUK
27959,20140131,252,1.04%,-0.0002,0.6976,-0.4393,-0.2683,0.65%,0.81%,34.37%,1.40%,DUK
27959,20140203,252,-0.23%,-0.0001,0.6794,-0.4521,-0.2461,0.66%,0.81%,33.65%,1.20%,DUK
27959,20140204,252,-0.74%,-0.0002,0.6715,-0.4445,-0.2403,0.66%,0.81%,32.67%,-1.29%,DUK
27959,20140205,252,-0.46%,-0.0002,0.6707,-0.4362,-0.2439,0.66%,0.81%,32.39%,-0.52%,DUK
27959,20140206,252,0.56%,-0.0002,0.6668,-0.4318,-0.2485,0.66%,0.81%,32.48%,-0.41%,DUK
27959,20140207,252,-0.03%,-0.0003,0.6521,-0.4152,-0.215,0.67%,0.81%,31.74%,-1.15%,DUK
27959,20140210,252,1.07%,-0.0002,0.6555,-0.4162,-0.2367,0.67%,0.81%,31.78%,0.92%,DUK
27959,20140211,252,0.79%,-0.0002,0.6569,-0.4174,-0.2417,0.67%,0.81%,32.08%,0.05%,DUK
27959,20140212,252,0.49%,-0.0002,0.6583,-0.4199,-0.2634,0.67%,0.81%,32.19%,0.51%,DUK
27959,20140213,252,0.79%,-0.0002,0.6592,-0.4102,-0.2641,0.67%,0.81%,32.20%,0.60%,DUK
27959,20140214,252,0.03%,-0.0002,0.656,-0.3971,-0.2586,0.67%,0.81%,32.23%,-0.30%,DUK
27959,20140218,252,0.07%,-0.0002,0.6556,-0.3917,-0.2594,0.67%,0.81%,32.21%,0.22%,DUK
27959,20140219,252,0.31%,-0.0002,0.6497,-0.398,-0.2758,0.66%,0.80%,31.95%,0.57%,DUK
27959,20140220,252,0.03%,-0.0002,0.6516,-0.3965,-0.2657,0.66%,0.80%,31.98%,-0.27%,DUK
27959,20140221,252,-0.35%,-0.0002,0.6533,-0.3965,-0.2651,0.66%,0.81%,32.07%,-0.17%,DUK
27959,20140224,252,-0.53%,-0.0003,0.6488,-0.3986,-0.2735,0.67%,0.80%,31.60%,-0.80%,DUK
27959,20140225,252,-0.11%,-0.0003,0.6544,-0.3989,-0.2592,0.66%,0.80%,31.59%,-0.16%,DUK
27959,20140226,252,-0.21%,-0.0003,0.653,-0.3969,-0.259,0.66%,0.80%,31.48%,-0.05%,DUK
27959,20140227,252,-0.63%,-0.0003,0.6521,-0.4003,-0.2594,0.67%,0.80%,30.95%,-0.92%,DUK
27959,20140228,252,0.64%,-0.0003,0.6516,-0.4055,-0.2509,0.66%,0.80%,31.13%,0.46%,DUK
27959,20140303,252,-1.17%,-0.0003,0.6564,-0.4095,-0.2578,0.66%,0.80%,31.52%,-0.65%,DUK
27959,20140304,252,0.10%,-0.0003,0.6509,-0.4169,-0.2556,0.66%,0.80%,31.20%,-0.58%,DUK
27959,20140305,252,-0.01%,-0.0003,0.6504,-0.4167,-0.2555,0.66%,0.80%,31.04%,-0.06%,DUK
27959,20140306,252,-0.11%,-0.0003,0.6501,-0.4148,-0.2525,0.66%,0.80%,31.03%,-0.16%,DUK
27959,20140307,252,0.04%,-0.0003,0.6496,-0.4122,-0.2416,0.66%,0.80%,31.03%,0.11%,DUK
27959,20140310,252,-0.63%,-0.0003,0.6504,-0.4108,-0.2434,0.67%,0.80%,31.01%,-0.59%,DUK
27959,20140311,252,-0.22%,-0.0003,0.6506,-0.4105,-0.2427,0.67%,0.80%,31.02%,-0.08%,DUK
27959,20140312,252,1.28%,-0.0002,0.6492,-0.4022,-0.251,0.67%,0.80%,30.61%,1.28%,DUK
27959,20140313,252,0.30%,-0.0002,0.6371,-0.3982,-0.2402,0.67%,0.80%,29.93%,1.10%,DUK
27959,20140314,252,0.18%,-0.0002,0.6341,-0.3869,-0.2377,0.67%,0.80%,29.75%,0.55%,DUK
27959,20140317,252,0.57%,-0.0002,0.6339,-0.3861,-0.2417,0.67%,0.80%,29.91%,-0.14%,DUK
27959,20140318,252,-1.21%,-0.0002,0.6284,-0.404,-0.2234,0.68%,0.81%,29.09%,-1.54%,DUK
27959,20140319,252,-2.18%,-0.0003,0.6402,-0.4084,-0.2679,0.69%,0.82%,29.57%,-1.74%,DUK
27959,20140320,252,0.67%,-0.0003,0.6403,-0.4132,-0.2529,0.69%,0.82%,29.52%,0.40%,DUK
27959,20140321,252,-0.13%,-0.0004,0.6423,-0.4157,-0.242,0.69%,0.82%,29.55%,0.21%,DUK
27959,20140324,252,0.35%,-0.0003,0.6412,-0.4263,-0.2258,0.69%,0.82%,29.28%,0.61%,DUK
27959,20140325,252,0.87%,-0.0003,0.6427,-0.431,-0.2246,0.69%,0.82%,29.29%,0.55%,DUK
27959,20140326,252,-0.60%,-0.0003,0.6411,-0.4162,-0.2221,0.69%,0.82%,29.02%,-0.48%,DUK
27959,20140327,252,1.32%,-0.0003,0.6411,-0.4237,-0.2288,0.69%,0.82%,28.91%,1.33%,DUK
27959,20140328,252,0.03%,-0.0004,0.636,-0.412,-0.222,0.69%,0.82%,28.67%,-0.30%,DUK
27959,20140331,252,1.11%,-0.0003,0.638,-0.4029,-0.2258,0.69%,0.82%,28.72%,0.86%,DUK
27959,20140401,252,-0.77%,-0.0003,0.6359,-0.4198,-0.2172,0.69%,0.82%,28.24%,-1.12%,DUK
